,mcaldt,tmytm
0,1980-01-31,11.721614020654
1,1980-02-29,13.61636785656
2,1980-03-31,15.050646803179
3,1980-04-30,9.2379298527468
4,1980-05-30,7.1820263316345
5,1980-06-30,6.2010228155294005
6,1980-07-31,7.4992604535221
7,1980-08-29,9.2969461594551
8,1980-09-30,10.794970512916
9,1980-10-31,11.682503145726999
10,1980-11-28,14.651751019378999
11,1980-12-31,12.527633629162
12,1981-01-30,13.919302365963
13,1981-02-27,14.032281897832
14,1981-03-31,13.016699446614
15,1981-04-30,13.819236045348
16,1981-05-29,16.150476854079
17,1981-06-30,14.411282281761
18,1981-07-31,14.957169615311999
19,1981-08-31,14.968477193346999
20,1981-09-30,13.996604563662
21,1981-10-30,12.718200057898999
22,1981-11-30,10.244136881856999
23,1981-12-31,9.6357817264791
24,1982-01-29,11.928527163154
25,1982-02-26,11.826010303908
26,1982-03-31,13.421077153993
27,1982-04-30,12.236136493166
28,1982-05-28,11.436522839533
29,1982-06-30,11.778569608805
30,1982-07-30,8.9186291125568
31,1982-08-31,6.2106838962052
32,1982-09-30,7.0194057465244
33,1982-10-29,7.7026858296125
34,1982-11-30,7.628029166541101
35,1982-12-31,8.060150357189
36,1983-01-31,8.037105082893
37,1983-02-28,7.424766272896401
38,1983-03-31,8.5720773362914
39,1983-04-29,8.1112743388827
40,1983-05-31,8.0770329298969
41,1983-06-30,8.6947431470418
42,1983-07-29,8.9186345249827
43,1983-08-31,9.1458334752343
44,1983-09-30,8.7550479951496
45,1983-10-31,8.4455336434238
46,1983-11-30,8.501515652974101
47,1983-12-30,8.6426254597365
48,1984-01-31,8.8836034315178
49,1984-02-29,8.8901222768685
50,1984-03-30,9.5526534783497
51,1984-04-30,9.2627329727146
52,1984-05-31,9.3594956377719
53,1984-06-29,9.3583326218341
54,1984-07-31,9.6497971063287
55,1984-08-31,10.719467248606
56,1984-09-28,10.432752084981999
57,1984-10-31,8.6037736485116
58,1984-11-30,7.406618257581401
59,1984-12-31,7.5982081146141
60,1985-01-31,7.652477718302
61,1985-02-28,7.7137101096352
62,1985-03-29,8.0908525769682
63,1985-04-30,7.3525886491967
64,1985-05-31,7.029621325751
65,1985-06-28,6.6310166669303
66,1985-07-31,7.060918715544401
67,1985-08-30,7.0697557904468
68,1985-09-30,7.0676980408957
69,1985-10-31,7.1725344372112
70,1985-11-29,6.5697883558774
71,1985-12-31,5.905029558082
72,1986-01-31,6.7840189984223
73,1986-02-28,6.9473186381042
74,1986-03-31,6.2723949856982
75,1986-04-30,5.8976753954755
76,1986-05-30,6.151619397525
77,1986-06-30,5.8851137575474
78,1986-07-31,5.6321402870269
79,1986-08-29,5.1222167117085
80,1986-09-30,5.1105774962289
81,1986-10-31,5.1222167117085
82,1986-11-28,4.9595522632541
83,1986-12-31,5.1127508153674
84,1987-01-30,5.580746766219
85,1987-02-27,5.3667452979111
86,1987-03-31,5.2022089371928
87,1987-04-30,4.8576826943622
88,1987-05-29,5.3870775417521
89,1987-06-30,4.9273292069404
90,1987-07-31,5.6011208336903
91,1987-08-31,5.660973020467
92,1987-09-30,6.499538211348701
93,1987-10-30,4.0225322105362
94,1987-11-30,3.5133221670899
95,1987-12-31,3.6869246447683
96,1988-01-29,5.2852151959032
97,1988-02-29,5.1720374062959005
98,1988-03-31,5.7340599064974
99,1988-04-29,5.754025010016901
100,1988-05-31,5.8642692219746
101,1988-06-30,6.539790391777601
102,1988-07-29,6.3759838350168
103,1988-08-31,7.2038652151866005
104,1988-09-30,7.0901677423719
105,1988-10-31,6.7413256927113006
106,1988-11-30,6.8261217809795
107,1988-12-30,6.6105798378857
108,1989-01-31,7.8831222935308
109,1989-02-28,7.536208732048601
110,1989-03-31,8.775492016477301
111,1989-04-28,8.560849203884901
112,1989-05-31,8.5935381821693
113,1989-06-30,8.2542910406789
114,1989-07-31,7.84314822343
115,1989-08-31,7.7852373731835005
116,1989-09-29,7.753767560202101
117,1989-10-31,7.6892466395302
118,1989-11-30,7.0704420620669
119,1989-12-29,6.2637939553281
120,1990-01-31,7.643041233277501
121,1990-02-28,7.7043367347102
122,1990-03-30,7.9988927590808006
123,1990-04-30,7.5165806334816
124,1990-05-31,7.3358802745289005
125,1990-06-29,7.641437212535401
