,date,ret
0,2010-01-04,0.015555302612483501
1,2010-01-05,0.001728939707390964
2,2010-01-06,-0.015906350687146187
3,2010-01-07,-0.001848601154051721
4,2010-01-08,0.006648275535553694
5,2010-01-11,-0.008821563795208931
6,2010-01-12,-0.01137499138712883
7,2010-01-13,0.01410549134016037
8,2010-01-14,-0.005791603587567806
9,2010-01-15,-0.01671202853322029
10,2010-01-19,0.04423833638429642
11,2010-01-20,-0.015415677800774574
12,2010-01-21,-0.017253512516617775
13,2010-01-22,-0.049607858061790466
14,2010-01-25,0.026927923783659935
15,2010-01-26,0.014108115807175636
16,2010-01-27,0.00943964347243309
17,2010-01-28,-0.041340406984090805
18,2010-01-29,-0.036263685673475266
19,2010-02-01,0.013886027969419956
20,2010-02-02,0.005802931729704142
21,2010-02-03,0.017206143587827682
22,2010-02-04,-0.03603871166706085
23,2010-02-05,0.017755812034010887
24,2010-02-08,-0.006855681538581848
25,2010-02-09,0.01066354475915432
26,2010-02-10,-0.005474311299622059
27,2010-02-11,0.018214810639619827
28,2010-02-12,0.008607272058725357
29,2010-02-16,0.015071309171617031
30,2010-02-17,-0.004178912844508886
31,2010-02-18,0.0018661600770428777
32,2010-02-19,-0.006199221592396498
33,2010-02-22,-0.006218068301677704
34,2010-02-23,-0.01675013266503811
35,2010-02-24,0.018253415822982788
36,2010-02-25,0.006698001176118851
37,2010-02-26,0.012970272451639175
38,2010-03-01,0.02135671302676201
39,2010-03-02,-0.0006698856013827026
40,2010-03-03,0.0022982796654105186
41,2010-03-04,0.006592485122382641
42,2010-03-05,0.03910583257675171
43,2010-03-08,0.0005937651731073856
44,2010-03-09,0.017984308302402496
45,2010-03-10,0.0081606674939394
46,2010-03-11,0.0029354370199143887
47,2010-03-12,0.004878075793385506
48,2010-03-15,-0.012180095538496971
49,2010-03-16,0.002725163707509637
50,2010-03-17,-0.001470268820412457
51,2010-03-18,0.0023647991474717855
52,2010-03-19,-0.010683733969926834
53,2010-03-22,0.011249080300331116
54,2010-03-23,0.0160622950643301
55,2010-03-24,0.004422816913574934
56,2010-03-25,-0.01185857504606247
57,2010-03-26,0.01875137910246849
58,2010-03-29,0.0064530340023338795
59,2010-03-30,0.014867257326841354
60,2010-03-31,-0.0035828668624162674
61,2010-04-01,0.00412766495719552
62,2010-04-05,0.010679341852664948
63,2010-04-06,0.004402649123221636
64,2010-04-07,0.004425202030688524
65,2010-04-08,-0.0027016173116862774
66,2010-04-09,0.0076682488434016705
67,2010-04-12,0.002067910274490714
68,2010-04-13,0.0005778174381703138
69,2010-04-14,0.013447221368551254
70,2010-04-15,0.013146630488336086
71,2010-04-16,-0.006106396671384573
72,2010-04-19,-0.0013338180724531412
73,2010-04-20,-0.010037685744464397
74,2010-04-21,0.05981440469622612
75,2010-04-22,0.027966637164354324
76,2010-04-23,0.016363874077796936
77,2010-04-26,-0.004910780116915703
78,2010-04-27,-0.027680858969688416
79,2010-04-28,-0.0016791422385722399
80,2010-04-29,0.02691134624183178
81,2010-04-30,-0.028104593977332115
82,2010-05-03,0.02014634758234024
83,2010-05-04,-0.028796745464205742
84,2010-05-05,-0.010418247431516647
85,2010-05-06,-0.03802957385778427
86,2010-05-07,-0.042192891240119934
87,2010-05-10,0.07686765491962433
88,2010-05-11,0.009960956871509552
89,2010-05-12,0.021713735535740852
90,2010-05-13,-0.014231794513761997
91,2010-05-14,-0.017572294920682907
92,2010-05-17,0.001575895817950368
93,2010-05-18,-0.007316499948501587
94,2010-05-19,-0.01592964120209217
95,2010-05-20,-0.042602892965078354
96,2010-05-21,0.01917905919253826
97,2010-05-24,0.01832282543182373
98,2010-05-25,-0.006240854971110821
99,2010-05-26,-0.004530657082796097
100,2010-05-27,0.0378560908138752
101,2010-05-28,0.013933288864791393
102,2010-06-01,0.015376757830381393
103,2010-06-02,0.011961912736296654
104,2010-06-03,-0.003144599497318268
105,2010-06-04,-0.027192911133170128
106,2010-06-07,-0.01963156647980213
107,2010-06-08,-0.006415878888219595
108,2010-06-09,-0.024585910141468048
109,2010-06-10,0.030057556927204132
110,2010-06-11,0.011975569650530815
111,2010-06-14,0.0030373723711818457
112,2010-06-15,0.021275773644447327
113,2010-06-16,0.029111623764038086
114,2010-06-17,0.01728716678917408
115,2010-06-18,0.008106852881610394
116,2010-06-21,-0.01424429751932621
117,2010-06-22,0.01362102571874857
118,2010-06-23,-0.010516723617911339
119,2010-06-24,-0.007270182017236948
120,2010-06-25,-0.00855014007538557
121,2010-06-28,0.005999158136546612
122,2010-06-29,-0.04521049186587334
123,2010-06-30,-0.01811302825808525
124,2010-07-01,-0.012125802226364613
125,2010-07-02,-0.0061976551078259945
126,2010-07-06,0.006843777373433113
127,2010-07-07,0.0403611920773983
128,2010-07-08,-0.0022229996975511312
129,2010-07-09,0.005928160157054663
130,2010-07-12,-0.00899388175457716
131,2010-07-13,-0.021326541900634766
132,2010-07-14,0.0036894686054438353
133,2010-07-15,-0.005052914842963219
134,2010-07-16,-0.006164259742945433
135,2010-07-19,-0.017286883667111397
136,2010-07-20,0.025694264099001884
137,2010-07-21,0.009329493157565594
138,2010-07-22,0.018816791474819183
139,2010-07-23,0.0035364122595638037
140,2010-07-26,-0.002539061475545168
141,2010-07-27,0.018512757495045662
142,2010-07-28,-0.011814584024250507
143,2010-07-29,-0.010921237990260124
144,2010-07-30,-0.0033318561036139727
145,2010-08-02,0.01788146235048771
146,2010-08-03,0.00030546713969670236
147,2010-08-04,0.004008774645626545
148,2010-08-05,-0.004867285490036011
149,2010-08-06,-0.006148294545710087
