,date,ret
0,1978-01-31,-0.06172839552164078
1,1978-02-28,0.01973684132099152
2,1978-03-31,-0.02941935509443283
3,1978-04-28,0.239999994635582
4,1978-05-31,0.03225806355476379
5,1978-06-30,-0.02374999970197678
6,1978-07-31,0.04812834039330482
7,1978-08-31,0.1122448965907097
8,1978-09-29,0.0203669723123312
9,1978-10-31,-0.1801801770925522
10,1978-11-30,0.01098901126533747
11,1978-12-29,-0.008478260599076748
12,1979-01-31,-0.005494505632668734
13,1979-02-28,0.0220994483679533
14,1979-03-30,0.05189189314842224
15,1979-04-30,0.04639175161719322
16,1979-05-31,0.004926108289510012
17,1979-06-29,-0.006862745620310307
18,1979-07-31,0.02970297075808048
19,1979-08-31,0.3201923072338104
20,1979-09-28,-0.06934306770563126
21,1979-10-31,-0.07450980693101883
22,1979-11-30,0.1864406764507294
23,1979-12-31,-0.005000000353902578
24,1980-01-31,0.02517985552549362
25,1980-02-29,-0.1017543822526932
26,1980-03-31,-0.1062500029802322
27,1980-04-30,0.140350878238678
28,1980-05-30,0.05384615436196327
29,1980-06-30,0.1233576610684395
30,1980-07-31,0.1433224827051163
31,1980-08-29,0.1019942983984947
32,1980-09-30,0.03626943007111549
33,1980-10-31,0.009999999776482582
34,1980-11-28,0.1138613894581795
35,1980-12-31,0.07733333110809326
36,1981-01-30,-0.00826446246355772
37,1981-02-27,0.05416666716337204
38,1981-03-31,0.1562055349349976
39,1981-04-30,0.05821917951107025
40,1981-05-29,0.00323624606244266
41,1981-06-30,-0.0176774188876152
42,1981-07-31,-0.02631578966975212
43,1981-08-31,-0.03540540486574173
44,1981-09-30,0.05964912101626396
45,1981-10-30,0.05298013240098953
46,1981-11-30,0.1037735864520073
47,1981-12-31,-0.02985754981637001
48,1982-01-29,-0.0029411765281111
49,1982-02-26,-0.02064896747469902
50,1982-03-31,0.1045783087611198
51,1982-04-30,0.1366120278835297
52,1982-05-28,-0.06009615212678909
53,1982-06-30,0.08368286490440369
54,1982-07-30,0.03073286078870296
55,1982-08-31,0.1530275195837021
56,1982-09-30,0.131474107503891
57,1982-10-29,0.1056338027119637
58,1982-11-30,0.2070063650608063
59,1982-12-31,0.05372031778097153
60,1983-01-31,-0.05764411017298698
61,1983-02-28,0.04787234216928482
62,1983-03-31,0.1765482276678085
63,1983-04-29,0.06479481607675552
64,1983-05-31,0.1663285940885544
65,1983-06-30,0.08966956287622452
66,1983-07-29,0.04792332276701927
67,1983-08-31,-0.03878048807382584
68,1983-09-30,0.03809523954987526
69,1983-10-31,-0.03975535184144974
70,1983-11-30,0.07324840873479843
71,1983-12-30,-0.0733531191945076
72,1984-01-31,-0.08974359184503555
73,1984-02-29,-0.09507042169570923
74,1984-03-30,0.03665369749069214
75,1984-04-30,0.06766917556524277
76,1984-05-31,0.04577464610338211
77,1984-06-29,0.1125252544879913
78,1984-07-31,-0.01212121173739433
79,1984-08-31,0.08411043137311935
80,1984-09-28,-0.02832861244678497
81,1984-10-31,-0.01749271154403687
82,1984-11-30,-0.05341246351599693
83,1984-12-31,-0.04884012416005135
84,1985-01-31,0.2013201266527176
85,1985-02-28,0.0
86,1985-03-29,-0.01769230701029301
87,1985-04-30,0.05042016878724098
88,1985-05-31,0.1173333302140236
89,1985-06-28,0.04429594427347183
90,1985-07-31,-0.09382151067256927
91,1985-08-30,0.04686868563294411
92,1985-09-30,-0.07729468494653702
93,1985-10-31,0.109947644174099
94,1985-11-29,0.1179245263338089
95,1985-12-31,0.07713080197572708
96,1986-01-31,0.007843137718737125
97,1986-02-28,0.05836575850844383
98,1986-03-31,0.1593382358551025
99,1986-04-30,0.02857142873108387
100,1986-05-30,0.1820987612009048
101,1986-06-30,0.08443864434957504
102,1986-07-31,-0.1036144569516182
103,1986-08-29,0.0116666667163372
104,1986-09-30,-0.1063829809427261
105,1986-10-31,0.0684523805975914
106,1986-11-28,0.06128133833408356
107,1986-12-31,-0.0227296594530344
108,1987-01-30,0.04301075264811516
109,1987-02-27,0.128865972161293
110,1987-03-31,0.05132419988512993
111,1987-04-30,-0.01521739084273577
112,1987-05-29,0.03311258181929588
113,1987-06-30,0.1570085436105728
114,1987-07-31,0.1016635894775391
115,1987-08-31,0.08805368840694427
116,1987-09-30,-0.06481481343507767
117,1987-10-30,-0.2706270515918732
118,1987-11-30,-0.1312217265367508
119,1987-12-31,0.0845833346247673
120,1988-01-29,0.05288461595773697
121,1988-02-29,0.07305935770273209
122,1988-03-31,-0.04119148850440979
123,1988-04-29,-0.01333333365619183
124,1988-05-31,0.01801801845431328
125,1988-06-30,0.08548672497272491
126,1988-07-29,0.0734693855047226
127,1988-08-31,-0.08623573929071426
128,1988-09-30,0.07500000298023224
129,1988-10-31,-0.02713178284466267
130,1988-11-30,-0.03585657477378845
131,1988-12-30,0.03851239755749702
132,1989-01-31,0.07569721341133118
133,1989-02-28,-0.0555555559694767
134,1989-03-31,0.02133333310484886
135,1989-04-28,0.1076923087239265
136,1989-05-31,0.0520833320915699
137,1989-06-30,0.008052805438637733
138,1989-07-31,0.1344262361526489
139,1989-08-31,-0.02184971049427986
140,1989-09-29,-0.02958579920232296
141,1989-10-31,0.01219512149691582
142,1989-11-30,0.05120481923222542
143,1989-12-29,0.02991404011845589
144,1990-01-31,-0.05013927444815636
145,1990-02-28,0.03225806355476379
146,1990-03-30,0.07545454800128937
147,1990-04-30,0.05026454851031303
148,1990-05-31,0.13602015376091
149,1990-06-29,0.1076718419790268
150,1990-07-31,0.006012023892253637
151,1990-08-31,-0.09051793068647385
