,Mom   
201301,-1.9
201302,1.31
201303,1.96
201304,0.27
201305,-1.74
201306,0.58
201307,1.78
201308,0.02
201309,2.96
201310,0.17
201311,0.44
201312,0.07
201401,1.74
201402,2.05
201403,-3.38
201404,-3.77
201405,1.21
201406,0.74
201407,-0.24
201408,0.79
201409,0.44
201410,-0.04
201411,1.06
201412,1.09
201501,3.81
201502,-2.83
201503,3
201504,-7.32
201505,6.03
201506,3.07
201507,10.29
201508,-2.09
201509,5.35
201510,-4.03
201511,2.21
201512,3.41
201601,1.34
201602,-4.06
201603,-5.13
201604,-6.26
201605,2.14
201606,4.11
201607,-3.08
201608,-3.17
201609,-0.53
201610,0.69
201611,-4.07
201612,-0.38
201701,-0.98
201702,-1.63
201703,-0.92
201704,0.44
201705,1.46
201706,-0.32
201707,1.66
201708,3.55
201709,-1.18
201710,4.3
201711,-0.71
201712,-1.63
201801,3.94
201802,3.97
201803,-1.28
201804,0.27
201805,3.8
201806,-2.38
201807,-1.67
201808,5.22
201809,-0.06
201810,-1.84
201811,-1.33
201812,1.85
201901,-8.65
201902,0.86
201903,2.14
201904,-2.55
201905,7.6
201906,-2.14
201907,2.72
201908,7.64
201909,-6.85
201910,0.29
201911,-2.6
201912,-2.27
