mcaldt,tmytm
1976-01-30,4.5212994869407
1976-02-27,4.6536503208426
1976-03-31,4.7555336273024
1976-04-30,4.6937806938734
1976-05-28,5.0604019784695
1976-06-30,5.2961696443257
1976-07-30,5.0814385986706005
1976-08-31,4.7644758630278
1976-09-30,5.0817996838077
1976-10-29,4.7555174528699
1976-11-30,4.3471995355490005
1976-12-31,4.2566144261453
1977-01-31,4.5510384388261
1977-02-28,4.4288747499078
1977-03-31,4.5414160933057
1977-04-29,4.3884197405506
1977-05-31,4.8350901507543
1977-06-30,4.9493680019636
1977-07-29,5.3463325224635
1977-08-31,5.377698643429301
1977-09-30,5.8151636362735
1977-10-31,5.8240028233445
1977-11-30,5.6937504516381
1977-12-30,5.754025010016901
1978-01-31,5.9967208538158
1978-02-28,6.0884251740265
1978-03-31,6.4972253572089
1978-04-28,6.0486483399274
1978-05-31,6.5097372536433005
1978-06-30,6.5595704755094
1978-07-31,6.5170219181511
1978-08-31,7.6013808131684
1978-09-29,8.0193091667989
1978-10-31,8.5363841008461
1978-11-30,9.0628587330568
1978-12-29,8.4280128146252
1979-01-31,9.5219756131092
1979-02-28,9.5424300332788
1979-03-30,9.6421703239067
1979-04-30,9.569337251154101
1979-05-31,9.6869363073906
1979-06-29,8.9901567043598
1979-07-31,9.0981299697221
1979-08-31,10.054020184712
1979-09-28,10.279168062276
1979-10-31,11.717011923041
1979-11-30,10.90379884883
1979-12-31,9.344482922687
1980-01-31,11.721614020654
1980-02-29,13.61636785656
1980-03-31,15.050646803179
1980-04-30,9.2379298527468
1980-05-30,7.1820263316345
1980-06-30,6.2010228155294005
1980-07-31,7.4992604535221
1980-08-29,9.2969461594551
1980-09-30,10.794970512916
1980-10-31,11.682503145726999
1980-11-28,14.651751019378999
1980-12-31,12.527633629162
1981-01-30,13.919302365963
1981-02-27,14.032281897832
1981-03-31,13.016699446614
1981-04-30,13.819236045348
1981-05-29,16.150476854079
1981-06-30,14.411282281761
1981-07-31,14.957169615311999
1981-08-31,14.968477193346999
1981-09-30,13.996604563662
1981-10-30,12.718200057898999
1981-11-30,10.244136881856999
1981-12-31,9.6357817264791
1982-01-29,11.928527163154
1982-02-26,11.826010303908
1982-03-31,13.421077153993
1982-04-30,12.236136493166
1982-05-28,11.436522839533
1982-06-30,11.778569608805
1982-07-30,8.9186291125568
1982-08-31,6.2106838962052
1982-09-30,7.0194057465244
1982-10-29,7.7026858296125
1982-11-30,7.628029166541101
1982-12-31,8.060150357189
1983-01-31,8.037105082893
1983-02-28,7.424766272896401
1983-03-31,8.5720773362914
1983-04-29,8.1112743388827
1983-05-31,8.0770329298969
1983-06-30,8.6947431470418
1983-07-29,8.9186345249827
1983-08-31,9.1458334752343
1983-09-30,8.7550479951496
1983-10-31,8.4455336434238
1983-11-30,8.501515652974101
1983-12-30,8.6426254597365
1984-01-31,8.8836034315178
1984-02-29,8.8901222768685
1984-03-30,9.5526534783497
1984-04-30,9.2627329727146
1984-05-31,9.3594956377719
1984-06-29,9.3583326218341
1984-07-31,9.6497971063287
1984-08-31,10.719467248606
1984-09-28,10.432752084981999
1984-10-31,8.6037736485116
1984-11-30,7.406618257581401
1984-12-31,7.5982081146141
1985-01-31,7.652477718302
1985-02-28,7.7137101096352
1985-03-29,8.0908525769682
1985-04-30,7.3525886491967
1985-05-31,7.029621325751
1985-06-28,6.6310166669303
1985-07-31,7.060918715544401
1985-08-30,7.0697557904468
1985-09-30,7.0676980408957
1985-10-31,7.1725344372112
1985-11-29,6.5697883558774
1985-12-31,5.905029558082
1986-01-31,6.7840189984223
1986-02-28,6.9473186381042
1986-03-31,6.2723949856982
1986-04-30,5.8976753954755
1986-05-30,6.151619397525
1986-06-30,5.8851137575474
1986-07-31,5.6321402870269
1986-08-29,5.1222167117085
1986-09-30,5.1105774962289
1986-10-31,5.1222167117085
1986-11-28,4.9595522632541
1986-12-31,5.1127508153674
1987-01-30,5.580746766219
1987-02-27,5.3667452979111
1987-03-31,5.2022089371928
1987-04-30,4.8576826943622
1987-05-29,5.3870775417521
1987-06-30,4.9273292069404
1987-07-31,5.6011208336903
1987-08-31,5.660973020467
1987-09-30,6.499538211348701
1987-10-30,4.0225322105362
1987-11-30,3.5133221670899
1987-12-31,3.6869246447683
1988-01-29,5.2852151959032
1988-02-29,5.1720374062959005
1988-03-31,5.7340599064974
1988-04-29,5.754025010016901
1988-05-31,5.8642692219746
1988-06-30,6.539790391777601
1988-07-29,6.3759838350168
1988-08-31,7.2038652151866005
1988-09-30,7.0901677423719
1988-10-31,6.7413256927113006
1988-11-30,6.8261217809795
1988-12-30,6.6105798378857
1989-01-31,7.8831222935308
1989-02-28,7.536208732048601
1989-03-31,8.775492016477301
1989-04-28,8.560849203884901
1989-05-31,8.5935381821693
1989-06-30,8.2542910406789
1989-07-31,7.84314822343
1989-08-31,7.7852373731835005
1989-09-29,7.753767560202101
1989-10-31,7.6892466395302
1989-11-30,7.0704420620669
1989-12-29,6.2637939553281
1990-01-31,7.643041233277501
1990-02-28,7.7043367347102
1990-03-30,7.9988927590808006
1990-04-30,7.5165806334816
1990-05-31,7.3358802745289005
1990-06-29,7.641437212535401
1990-07-31,7.4647976288646
1990-08-31,7.4882784070362005
1990-09-28,7.0187276077419005
1990-10-31,6.7444660259385
1990-11-30,6.6513962741132
1990-12-31,5.447024659215
1991-01-31,5.8768054772784
1991-02-28,5.7136792636828
1991-03-28,5.8870017126788
1991-04-30,5.4160648790163
1991-05-31,5.3875033663209
1991-06-28,5.1833265567044
1991-07-31,5.540806895387901
